Record Date,Country - Currency Description,Exchange Rate,Effective Date,ISO Code
2025-09-30,Afghanistan-Afghani,67.33,2025-09-30,AFN
2025-09-30,Albania-Lek,82.2,2025-09-30,ALL
2025-09-30,Algeria-Dinar,129.248,2025-09-30,DZD
2025-09-30,Angola-Kwanza,911.978,2025-09-30,AOA
2025-09-30,Antigua & Barbuda-East Caribbean Dollar,2.7,2025-09-30,XCD
2025-09-30,Argentina-Peso,1380.0,2025-09-30,ARS
2025-09-30,Armenia-Dram,380.0,2025-09-30,AMD
2025-09-30,Australia-Dollar,1.513,2025-09-30,AUD
2025-09-30,Azerbaijan-Manat,1.7,2025-09-30,AZN
2025-09-30,Bahamas-Dollar,1.0,2025-09-30,BSD
2025-09-30,Bahrain-Dinar,0.377,2025-09-30,BHD
2025-09-30,Bangladesh-Taka,123.0,2025-09-30,BDT
2025-09-30,Barbados-Dollar,2.02,2025-09-30,BBD
2025-09-30,Belarus-New Ruble,3.025,2025-09-30,BYN
2025-09-30,Belize-Dollar,2.0,2025-09-30,BZD
2025-09-30,Benin-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Bermuda-Dollar,1.0,2025-09-30,BMD
2025-09-30,Bolivia-Boliviano,6.86,2025-09-30,BOB
2025-09-30,Bosnia-Marka,1.666,2025-09-30,BAM
2025-09-30,Botswana-Pula,13.947,2025-09-30,BWP
2025-09-30,Botswana-Pula,12.361,2025-10-15,BWP
2025-09-30,Brazil-Real,5.322,2025-09-30,BRL
2025-09-30,Brunei-Dollar,1.29,2025-09-30,BND
2025-09-30,Bulgaria-Lev New,1.666,2025-09-30,BGN
2025-09-30,Burkina Faso-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Burundi-Franc,3000.0,2025-09-30,BIF
2025-09-30,Cambodia-Riel,4001.5,2025-09-30,KHR
2025-09-30,Cameroon-Cfa Franc,559.0,2025-09-30,XAF
2025-09-30,Canada-Dollar,1.392,2025-09-30,CAD
2025-09-30,Cape Verde-Escudo,93.92,2025-09-30,CVE
2025-09-30,Cayman Islands-Dollar,0.82,2025-09-30,KYD
2025-09-30,Central African Republic-Cfa Franc,559.0,2025-09-30,XAF
2025-09-30,Chad-Cfa Franc,559.0,2025-09-30,XAF
2025-09-30,Chile-Peso,964.08,2025-09-30,CLP
2025-09-30,China-Renminbi,7.119,2025-09-30,CNY
2025-09-30,Colombia-Peso,3917.32,2025-09-30,COP
2025-09-30,Comoros-Franc,419.67,2025-09-30,KMF
2025-09-30,Congo-Cfa Franc,559.0,2025-09-30,XAF
2025-09-30,Costa Rica-Colon,499.62,2025-09-30,CRC
2025-09-30,Cote D'Ivoire-Cfa Franc,555.75,2025-09-30,XOF
